subgroup,model,metric,point,ci_low,ci_high,delong_p
18-25 Years Old,FAIR-PLR,precision_top5,0.6109965635738832,0.5890034364261169,0.632319587628866,
18-25 Years Old,Standard-LR,auc,0.8679366563819544,0.8611832335160673,0.8748347805627213,0.00014714346770317022
18-25 Years Old,Standard-LR,tpr_top1,0.06660137120470128,0.0613777342474698,0.07182500816193274,
18-25 Years Old,Standard-LR,tpr_top5,0.28697355533790403,0.27717107411034936,0.29774730656219395,
18-25 Years Old,Standard-LR,precision_top1,0.7010309278350515,0.6460481099656358,0.7560137457044673,
18-25 Years Old,Standard-LR,precision_top5,0.6041237113402061,0.5834879725085911,0.6268041237113402,
18-25 Years Old,Pooled-EN-no-weight,auc,0.8701340226712945,0.8636880250318995,0.8768202865007624,0.37277870353662035
18-25 Years Old,Pooled-EN-no-weight,tpr_top1,0.06660137120470128,0.0613777342474698,0.07182500816193274,
18-25 Years Old,Pooled-EN-no-weight,tpr_top5,0.2895853738165198,0.27848514528240287,0.3000326477309827,
18-25 Years Old,Pooled-EN-no-weight,precision_top1,0.7010309278350515,0.6460481099656358,0.7560137457044673,
18-25 Years Old,Pooled-EN-no-weight,precision_top5,0.6096219931271478,0.5862542955326461,0.6316151202749141,
18-25 Years Old,Decision-Tree,auc,0.8658516279213664,0.8589804289676682,0.8728081247759575,0.00021510411656033845
18-25 Years Old,Decision-Tree,tpr_top1,0.06072477962781587,0.08748775710088148,0.09239307868103167,
18-25 Years Old,Decision-Tree,tpr_top5,0.2804440091413647,0.2801175318315377,0.31145935357492655,
18-25 Years Old,Decision-Tree,precision_top1,0.6391752577319587,0.9208762886597938,0.9725085910652921,
18-25 Years Old,Decision-Tree,precision_top5,0.5903780068728522,0.5896907216494846,0.6556701030927835,
26-34 Years Old,FAIR-PLR,auc,0.8776527090367799,0.866688546978274,0.8883943706583948,
26-34 Years Old,FAIR-PLR,tpr_top1,0.09219858156028368,0.08067375886524823,0.10372340425531915,
