subgroup,model,metric,point,ci_low,ci_high,delong_p
Severe Obesity,FAIR-PLR,precision_top1,0.7843137254901961,0.6470588235294118,0.8627450980392157,
Severe Obesity,FAIR-PLR,precision_top5,0.6023622047244095,0.556003937007874,0.6684055118110237,
Severe Obesity,Standard-LR,auc,0.896699502631706,0.8852710708276222,0.9072296697459671,0.658959300560026
Severe Obesity,Standard-LR,tpr_top1,0.07905982905982906,0.06837606837606838,0.09305555555555554,
Severe Obesity,Standard-LR,tpr_top5,0.3333333333333333,0.29962606837606837,0.3651175213675214,
Severe Obesity,Standard-LR,precision_top1,0.7254901960784313,0.6274509803921569,0.8539215686274509,
Severe Obesity,Standard-LR,precision_top5,0.6141732283464567,0.5520669291338582,0.672736220472441,
Severe Obesity,Pooled-EN-no-weight,auc,0.8963155187079569,0.8841590380622323,0.9065355387104083,0.8486445205828979
Severe Obesity,Pooled-EN-no-weight,tpr_top1,0.08547008547008547,0.07099358974358974,0.09353632478632479,
Severe Obesity,Pooled-EN-no-weight,tpr_top5,0.32905982905982906,0.3055555555555556,0.3580128205128205,
Severe Obesity,Pooled-EN-no-weight,precision_top1,0.7843137254901961,0.6514705882352941,0.8583333333333334,
Severe Obesity,Pooled-EN-no-weight,precision_top5,0.6062992125984252,0.562992125984252,0.6596456692913386,
Severe Obesity,Decision-Tree,auc,0.8930500302729767,0.8790319704922052,0.9041890986174722,0.3196753634342957
Severe Obesity,Decision-Tree,tpr_top1,0.0811965811965812,0.07740384615384616,0.10849358974358975,
Severe Obesity,Decision-Tree,tpr_top5,0.3247863247863248,0.30817307692307694,0.3558760683760684,
Severe Obesity,Decision-Tree,precision_top1,0.7450980392156863,0.7102941176470589,0.9955882352941177,
Severe Obesity,Decision-Tree,precision_top5,0.5984251968503937,0.5678149606299212,0.6557086614173229,
Underweight,FAIR-PLR,auc,0.8692220407247153,0.8481188199059816,0.8905172263301618,
Underweight,FAIR-PLR,tpr_top1,0.08542713567839195,0.06532663316582915,0.10439698492462311,
Underweight,FAIR-PLR,tpr_top5,0.31155778894472363,0.2585427135678392,0.3506281407035176,
Underweight,FAIR-PLR,precision_top1,0.7727272727272727,0.5909090909090909,0.9443181818181818,
Underweight,FAIR-PLR,precision_top5,0.5585585585585585,0.46351351351351355,0.6286036036036036,
Underweight,Standard-LR,auc,0.8708904323104357,0.8478219260072072,0.8955154182824794,0.7354861027522732
Underweight,Standard-LR,tpr_top1,0.07537688442211055,0.0564070351758794,0.0943467336683417,
Underweight,Standard-LR,tpr_top5,0.33668341708542715,0.2875628140703518,0.39472361809045226,
Underweight,Standard-LR,precision_top1,0.6818181818181818,0.5102272727272728,0.8534090909090909,
Underweight,Standard-LR,precision_top5,0.6036036036036037,0.5155405405405405,0.7076576576576576,
Underweight,Pooled-EN-no-weight,auc,0.8771450303627316,0.8562692494731724,0.9028706186016933,0.07560941052094083
Underweight,Pooled-EN-no-weight,tpr_top1,0.07035175879396985,0.046356783919597994,0.09045226130653267,
Underweight,Pooled-EN-no-weight,tpr_top5,0.3316582914572864,0.2875628140703518,0.3707286432160804,
Underweight,Pooled-EN-no-weight,precision_top1,0.6363636363636364,0.4193181818181818,0.8181818181818182,
Underweight,Pooled-EN-no-weight,precision_top5,0.5945945945945946,0.5155405405405405,0.6646396396396396,
Underweight,Decision-Tree,auc,0.8701809294612017,0.8415398643340772,0.8949372482761202,0.8919650025493455
Underweight,Decision-Tree,tpr_top1,0.06532663316582915,0.09045226130653267,0.11055276381909548,
Underweight,Decision-Tree,tpr_top5,0.33668341708542715,0.30263819095477384,0.38969849246231153,
Underweight,Decision-Tree,precision_top1,0.5909090909090909,0.8181818181818182,1.0,
Underweight,Decision-Tree,precision_top5,0.6036036036036037,0.5425675675675676,0.6986486486486486,
Unknown,FAIR-PLR,auc,0.8877344236580471,0.860130360314641,0.9145574496551406,
Unknown,FAIR-PLR,tpr_top1,0.11818181818181818,0.08738636363636364,0.1409090909090909,
Unknown,FAIR-PLR,tpr_top5,0.41363636363636364,0.34647727272727274,0.4580681818181818,
Unknown,FAIR-PLR,precision_top1,0.6190476190476191,0.4577380952380952,0.7380952380952381,
Unknown,FAIR-PLR,precision_top5,0.4375,0.36646634615384616,0.4844951923076923,
Unknown,Standard-LR,auc,0.8886115660538397,0.8575440301261793,0.9138631173444673,0.7752322062518118
Unknown,Standard-LR,tpr_top1,0.11363636363636363,0.08284090909090909,0.1318181818181818,
Unknown,Standard-LR,tpr_top5,0.40454545454545454,0.3409090909090909,0.45352272727272724,
Unknown,Standard-LR,precision_top1,0.5952380952380952,0.4339285714285714,0.6904761904761905,
Unknown,Standard-LR,precision_top5,0.42788461538461536,0.3605769230769231,0.4796875,
Unknown,Pooled-EN-no-weight,auc,0.8868030725934812,0.8565250513252289,0.9142477105487762,0.6889640080237966
Unknown,Pooled-EN-no-weight,tpr_top1,0.10909090909090909,0.07829545454545454,0.12727272727272726,
Unknown,Pooled-EN-no-weight,tpr_top5,0.41363636363636364,0.3439772727272727,0.4590909090909091,
Unknown,Pooled-EN-no-weight,precision_top1,0.5714285714285714,0.4101190476190476,0.6666666666666666,
Unknown,Pooled-EN-no-weight,precision_top5,0.4375,0.3638221153846154,0.4855769230769231,
Unknown,Decision-Tree,auc,0.8770910705635395,0.8445606791077483,0.9069998817789671,0.04713510150248412
Unknown,Decision-Tree,tpr_top1,0.11818181818181818,0.09647727272727273,0.1590909090909091,
Unknown,Decision-Tree,tpr_top5,0.37727272727272726,0.31113636363636366,0.43886363636363634,
Unknown,Decision-Tree,precision_top1,0.6190476190476191,0.5053571428571428,0.8333333333333334,
Unknown,Decision-Tree,precision_top5,0.39903846153846156,0.32908653846153846,0.4641826923076923,
