Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Top 5% Risk,Age,18-25 Years Old,1464,0.5,0.715,23.139,48.839,23.139,0.488,0.656,715,1.0,749,1.0,0,0.0
Overall,Age,26-34 Years Old,18098,0.78,0.266,100.0,6.216,100.0,0.929,0.339,329,0.292,488,0.029,796,0.708
Top 1% Risk,Age,26-34 Years Old,180,0.5,0.76,6.756,42.222,6.756,0.422,0.594,76,1.0,104,1.0,0,0.0
Top 5% Risk,Age,26-34 Years Old,904,0.534,0.753,31.556,39.27,31.556,0.431,0.561,329,0.927,488,0.889,26,0.073
Overall,Gender,Male,41253,0.77,0.262,100.0,5.82,100.0,0.931,0.349,758,0.316,1185,0.031,1643,0.684
Top 1% Risk,Gender,Male,412,0.5,0.755,7.372,42.961,7.372,0.43,0.601,177,1.0,235,1.0,0,0.0
Top 5% Risk,Gender,Male,2062,0.526,0.768,32.986,38.409,32.986,0.409,0.554,758,0.957,1185,0.933,34,0.043
Overall,Gender,Female,49216,0.784,0.269,100.0,6.858,100.0,0.928,0.293,737,0.218,921,0.02,2638,0.782
Top 1% Risk,Gender,Female,492,0.5,0.731,6.785,46.545,6.785,0.465,0.635,229,1.0,263,1.0,0,0.0
Top 5% Risk,Gender,Female,2460,0.547,0.701,30.459,41.789,30.459,0.507,0.549,737,0.717,921,0.643,291,0.283
Overall,Race,NonHisp Black/Afr Am,10718,0.748,0.25,100.0,5.141,100.0,0.937,0.291,138,0.25,259,0.025,413,0.75
Top 1% Risk,Race,NonHisp Black/Afr Am,107,0.5,0.803,6.897,35.514,6.897,0.355,0.524,38,1.0,69,1.0,0,0.0
Top 5% Risk,Race,NonHisp Black/Afr Am,535,0.58,0.732,30.309,31.215,30.309,0.462,0.489,138,0.826,259,0.704,29,0.174
Overall,Race,NonHisp White,55063,0.78,0.267,100.0,6.551,100.0,0.929,0.32,925,0.256,1246,0.024,2682,0.744
Top 1% Risk,Race,NonHisp White,550,0.5,0.769,6.238,40.909,6.238,0.409,0.581,225,1.0,325,1.0,0,0.0
Top 5% Risk,Race,NonHisp White,2753,0.536,0.724,31.273,40.973,31.273,0.474,0.561,925,0.82,1246,0.767,203,0.18
Overall,Race,Hispanic,15374,0.783,0.263,100.0,6.075,100.0,0.931,0.321,251,0.269,380,0.026,683,0.731
Top 1% Risk,Race,Hispanic,153,0.5,0.816,5.46,33.333,5.46,0.333,0.5,51,1.0,102,1.0,0,0.0
Top 5% Risk,Race,Hispanic,768,0.527,0.745,31.799,38.672,31.799,0.445,0.541,251,0.845,380,0.807,46,0.155
Overall,Race,NonHisp more than,3124,0.77,0.337,100.0,10.819,100.0,0.886,0.323,85,0.251,103,0.037,253,0.749
Top 1% Risk,Race,NonHisp more than,31,0.5,0.803,3.254,35.484,3.254,0.355,0.524,11,1.0,20,1.0,0,0.0
Top 5% Risk,Race,NonHisp more than,156,0.5,0.725,21.893,47.436,21.893,0.474,0.643,74,1.0,82,1.0,0,0.0
Overall,Race,NonHisp Asian,4524,0.763,0.231,100.0,4.797,100.0,0.947,0.36,68,0.313,93,0.022,149,0.687
Top 1% Risk,Race,NonHisp Asian,45,0.5,0.745,9.217,44.444,9.217,0.444,0.615,20,1.0,25,1.0,0,0.0
Top 5% Risk,Race,NonHisp Asian,226,0.62,0.679,36.406,34.956,36.406,0.54,0.567,68,0.861,93,0.633,11,0.139
Overall,Race,NonHisp Native HI/Other Pac Isl,462,0.768,0.246,100.0,5.411,100.0,0.939,0.333,7,0.28,10,0.023,18,0.72
Top 1% Risk,Race,NonHisp Native HI/Other Pac Isl,4,0.5,0.707,8.0,50.0,8.0,0.5,0.667,2,1.0,2,1.0,0,0.0
Top 5% Risk,Race,NonHisp Native HI/Other Pac Isl,23,0.587,0.722,36.0,39.13,36.0,0.478,0.538,7,0.778,10,0.714,2,0.222
Overall,Race,NonHisp Native Am/AK Native,1204,0.736,0.285,100.0,8.638,100.0,0.919,0.3,21,0.202,15,0.014,83,0.798
Top 1% Risk,Race,NonHisp Native Am/AK Native,12,0.5,0.707,5.769,50.0,5.769,0.5,0.667,6,1.0,6,1.0,0,0.0
Top 5% Risk,Race,NonHisp Native Am/AK Native,60,0.634,0.592,25.962,45.0,25.962,0.65,0.667,21,0.778,15,0.455,6,0.222
Overall,Marital Status,Divorced or Separated,9515,0.739,0.262,100.0,6.695,100.0,0.931,0.21,87,0.137,104,0.012,550,0.863
Top 1% Risk,Marital Status,Divorced or Separated,95,0.5,0.754,6.436,43.158,6.436,0.432,0.603,41,1.0,54,1.0,0,0.0
Top 5% Risk,Marital Status,Divorced or Separated,475,0.585,0.644,28.257,37.895,28.257,0.585,0.469,87,0.483,104,0.353,93,0.517
Overall,Marital Status,Married,37211,0.794,0.211,100.0,3.276,100.0,0.955,0.322,394,0.323,833,0.023,825,0.677
Top 1% Risk,Marital Status,Married,372,0.5,0.821,9.926,32.527,9.926,0.325,0.491,121,1.0,251,1.0,0,0.0
Top 5% Risk,Marital Status,Married,1860,0.585,0.713,41.756,27.366,41.756,0.49,0.454,394,0.774,833,0.617,115,0.226
Overall,Marital Status,Never Been Married,40997,0.781,0.311,100.0,9.352,100.0,0.903,0.333,990,0.258,1119,0.03,2844,0.742
Top 1% Risk,Marital Status,Never Been Married,409,0.5,0.732,4.956,46.455,4.956,0.465,0.634,190,1.0,219,1.0,0,0.0
Top 5% Risk,Marital Status,Never Been Married,2049,0.513,0.726,25.274,47.291,25.274,0.473,0.642,969,1.0,1080,1.0,0,0.0
Overall,Marital Status,Widowed,2746,0.748,0.202,100.0,3.132,100.0,0.959,0.3,24,0.279,50,0.019,62,0.721
Top 1% Risk,Marital Status,Widowed,27,0.5,0.839,9.302,29.63,9.302,0.296,0.457,8,1.0,19,1.0,0,0.0
Top 5% Risk,Marital Status,Widowed,137,0.635,0.656,38.372,24.088,38.372,0.569,0.449,24,0.727,50,0.481,9,0.273
Overall,Education,College graduate,27353,0.783,0.227,100.0,4.442,100.0,0.949,0.305,309,0.254,499,0.019,906,0.746
Top 1% Risk,Education,College graduate,273,0.5,0.784,8.642,38.462,8.642,0.385,0.556,105,1.0,168,1.0,0,0.0
Top 5% Risk,Education,College graduate,1367,0.579,0.687,37.613,33.431,37.613,0.527,0.489,309,0.676,499,0.548,148,0.324
Overall,Education,High school grad,23891,0.766,0.272,100.0,6.973,100.0,0.926,0.289,359,0.215,460,0.021,1307,0.785
Top 1% Risk,Education,High school grad,238,0.5,0.713,7.023,49.16,7.023,0.492,0.659,117,1.0,121,1.0,0,0.0
Top 5% Risk,Education,High school grad,1194,0.538,0.706,29.832,41.625,29.832,0.499,0.546,359,0.722,460,0.66,138,0.278
Overall,Education,Less high school,10902,0.754,0.266,100.0,6.669,100.0,0.929,0.289,157,0.216,202,0.02,570,0.784
Top 1% Risk,Education,Less high school,109,0.5,0.766,6.19,41.284,6.19,0.413,0.584,45,1.0,64,1.0,0,0.0
Top 5% Risk,Education,Less high school,545,0.524,0.708,31.362,41.835,31.362,0.499,0.535,157,0.689,202,0.637,71,0.311
Overall,Education,Some coll/Assoc Dg,28323,0.784,0.294,100.0,7.655,100.0,0.914,0.354,670,0.309,945,0.036,1498,0.691
Top 1% Risk,Education,Some coll/Assoc Dg,283,0.5,0.73,6.089,46.643,6.089,0.466,0.636,132,1.0,151,1.0,0,0.0
Top 5% Risk,Education,Some coll/Assoc Dg,1416,0.5,0.757,27.906,42.726,27.906,0.427,0.599,605,1.0,811,1.0,0,0.0
Overall,Poverty,Income More Than 2X Fed Pov Thresh,55061,0.781,0.243,100.0,5.28,100.0,0.941,0.316,750,0.258,1091,0.021,2157,0.742
Top 1% Risk,Poverty,Income More Than 2X Fed Pov Thresh,550,0.5,0.773,7.602,40.182,7.602,0.402,0.573,221,1.0,329,1.0,0,0.0
Top 5% Risk,Poverty,Income More Than 2X Fed Pov Thresh,2753,0.576,0.697,34.4,36.324,34.4,0.513,0.528,750,0.75,1091,0.622,250,0.25
Overall,Poverty,Living in Poverty,16771,0.746,0.296,100.0,8.604,100.0,0.913,0.251,246,0.17,268,0.017,1197,0.83
Top 1% Risk,Poverty,Living in Poverty,167,0.5,0.692,6.029,52.096,6.029,0.521,0.685,87,1.0,80,1.0,0,0.0
Top 5% Risk,Poverty,Living in Poverty,838,0.543,0.692,26.265,45.227,26.265,0.521,0.551,246,0.649,268,0.584,133,0.351
Overall,Poverty,Income Up to 2X Fed Pov Thresh,18637,0.801,0.3,100.0,7.651,100.0,0.91,0.374,499,0.35,747,0.043,927,0.65
Top 1% Risk,Poverty,Income Up to 2X Fed Pov Thresh,186,0.5,0.762,5.47,41.935,5.47,0.419,0.591,78,1.0,108,1.0,0,0.0
Top 5% Risk,Poverty,Income Up to 2X Fed Pov Thresh,931,0.5,0.778,25.806,39.527,25.806,0.395,0.567,368,1.0,563,1.0,0,0.0
Overall,Employment Status,Employed full time,46354,0.773,0.245,100.0,5.335,100.0,0.94,0.301,601,0.243,915,0.021,1872,0.757
Top 1% Risk,Employment Status,Employed full time,463,0.5,0.801,6.712,35.853,6.712,0.359,0.528,166,1.0,297,1.0,0,0.0
Top 5% Risk,Employment Status,Employed full time,2317,0.549,0.707,34.29,36.599,34.29,0.498,0.508,601,0.709,915,0.623,247,0.291
Overall,Employment Status,Other,24496,0.757,0.256,100.0,6.246,100.0,0.935,0.27,296,0.193,370,0.016,1234,0.807
Top 1% Risk,Employment Status,Other,244,0.5,0.76,6.732,42.213,6.732,0.422,0.594,103,1.0,141,1.0,0,0.0
Top 5% Risk,Employment Status,Other,1224,0.569,0.666,30.719,38.399,30.719,0.556,0.521,296,0.63,370,0.491,174,0.37
Overall,Employment Status,Employed part time,14093,0.779,0.3,100.0,8.494,100.0,0.91,0.346,335,0.28,407,0.032,862,0.72
Top 1% Risk,Employment Status,Employed part time,140,0.5,0.761,4.929,42.143,4.929,0.421,0.593,59,1.0,81,1.0,0,0.0
Top 5% Risk,Employment Status,Employed part time,704,0.508,0.735,27.068,46.023,27.068,0.46,0.63,324,1.0,380,1.0,0,0.0
Overall,Employment Status,Unemployed,5526,0.803,0.363,100.0,10.423,100.0,0.868,0.42,263,0.457,414,0.084,313,0.543
Top 1% Risk,Employment Status,Unemployed,55,0.5,0.798,3.472,36.364,3.472,0.364,0.533,20,1.0,35,1.0,0,0.0
Top 5% Risk,Employment Status,Unemployed,276,0.5,0.773,19.271,40.217,19.271,0.402,0.574,111,1.0,165,1.0,0,0.0
Overall,Family Income,"$50,000 - $74,999",13994,0.787,0.258,100.0,5.738,100.0,0.933,0.316,215,0.268,343,0.026,588,0.732
Top 1% Risk,Family Income,"$50,000 - $74,999",139,0.5,0.763,7.223,41.727,7.223,0.417,0.589,58,1.0,81,1.0,0,0.0
Top 5% Risk,Family Income,"$50,000 - $74,999",699,0.522,0.744,32.379,37.196,32.379,0.445,0.526,215,0.827,343,0.781,45,0.173
Overall,Family Income,"$75,000 or More",32082,0.776,0.228,100.0,4.688,100.0,0.948,0.305,366,0.243,528,0.017,1138,0.757
Top 1% Risk,Family Income,"$75,000 or More",320,0.5,0.769,8.71,40.938,8.71,0.409,0.581,131,1.0,189,1.0,0,0.0
Top 5% Risk,Family Income,"$75,000 or More",1604,0.598,0.664,36.436,34.165,36.436,0.557,0.508,366,0.668,528,0.5,182,0.332
Overall,Family Income,"$20,000 - $49,999",26898,0.785,0.283,100.0,6.889,100.0,0.92,0.35,581,0.314,890,0.036,1272,0.686
Top 1% Risk,Family Income,"$20,000 - $49,999",268,0.5,0.794,5.343,36.94,5.343,0.369,0.54,99,1.0,169,1.0,0,0.0
Top 5% Risk,Family Income,"$20,000 - $49,999",1344,0.503,0.775,28.98,39.955,28.98,0.4,0.571,537,1.0,807,1.0,0,0.0
Overall,Family Income,"Less than $20,000",17495,0.761,0.305,100.0,9.237,100.0,0.907,0.29,333,0.206,345,0.022,1283,0.794
Top 1% Risk,Family Income,"Less than $20,000",174,0.5,0.723,5.136,47.701,5.136,0.477,0.646,83,1.0,91,1.0,0,0.0
Top 5% Risk,Family Income,"Less than $20,000",874,0.56,0.692,25.124,46.453,25.124,0.522,0.614,333,0.82,345,0.737,73,0.18
Overall,Health Insurance,Private plan,56588,0.779,0.249,100.0,5.519,100.0,0.938,0.315,809,0.259,1208,0.023,2314,0.741
Top 1% Risk,Health Insurance,Private plan,565,0.5,0.757,7.717,42.655,7.717,0.427,0.598,241,1.0,324,1.0,0,0.0
Top 5% Risk,Health Insurance,Private plan,2829,0.56,0.713,33.461,36.939,33.461,0.49,0.528,809,0.774,1208,0.677,236,0.226
Overall,Health Insurance,Medicare,3452,0.707,0.206,100.0,3.824,100.0,0.957,0.14,12,0.091,27,0.008,120,0.909
Top 1% Risk,Health Insurance,Medicare,34,0.5,0.857,6.818,26.471,6.818,0.265,0.419,9,1.0,25,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicare,172,0.576,0.615,37.879,29.07,37.879,0.622,0.27,12,0.24,27,0.221,38,0.76
Overall,Health Insurance,Uninsured,10924,0.769,0.277,100.0,7.726,100.0,0.923,0.331,208,0.246,203,0.02,636,0.754
Top 1% Risk,Health Insurance,Uninsured,109,0.5,0.697,6.635,51.376,6.635,0.514,0.679,56,1.0,53,1.0,0,0.0
Top 5% Risk,Health Insurance,Uninsured,546,0.548,0.686,31.161,48.168,31.161,0.527,0.617,208,0.791,203,0.717,55,0.209
Overall,Health Insurance,Medicaid/CHIP,15147,0.776,0.319,100.0,8.992,100.0,0.898,0.341,399,0.293,582,0.042,963,0.707
Top 1% Risk,Health Insurance,Medicaid/CHIP,151,0.5,0.781,4.332,39.073,4.332,0.391,0.562,59,1.0,92,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicaid/CHIP,757,0.5,0.761,23.421,42.14,23.421,0.421,0.593,319,1.0,438,1.0,0,0.0
Overall,Health Insurance,Other,4358,0.759,0.277,100.0,7.228,100.0,0.923,0.286,67,0.213,86,0.021,248,0.787
Top 1% Risk,Health Insurance,Other,43,0.5,0.731,6.349,46.512,6.349,0.465,0.635,20,1.0,23,1.0,0,0.0
Top 5% Risk,Health Insurance,Other,217,0.549,0.708,28.571,41.475,28.571,0.498,0.551,67,0.744,86,0.677,23,0.256
Overall,Urban Residence,Large Metropolitan,40733,0.764,0.251,100.0,5.85,100.0,0.937,0.289,525,0.22,719,0.019,1858,0.78
Top 1% Risk,Urban Residence,Large Metropolitan,407,0.5,0.753,7.386,43.243,7.386,0.432,0.604,176,1.0,231,1.0,0,0.0
Top 5% Risk,Urban Residence,Large Metropolitan,2036,0.563,0.689,32.48,38.016,32.48,0.525,0.52,525,0.678,719,0.57,249,0.322
Overall,Urban Residence,Small Metropolitan,32774,0.803,0.283,100.0,6.929,100.0,0.92,0.377,793,0.349,1146,0.038,1478,0.651
Top 1% Risk,Urban Residence,Small Metropolitan,327,0.5,0.754,6.209,43.119,6.209,0.431,0.603,141,1.0,186,1.0,0,0.0
Top 5% Risk,Urban Residence,Small Metropolitan,1638,0.5,0.762,30.295,42.002,30.295,0.42,0.592,688,1.0,950,1.0,0,0.0
Overall,Urban Residence,Nonmetropolitan,16962,0.748,0.264,100.0,6.615,100.0,0.93,0.23,177,0.158,241,0.015,945,0.842
Top 1% Risk,Urban Residence,Nonmetropolitan,169,0.5,0.765,6.239,41.42,6.239,0.414,0.586,70,1.0,99,1.0,0,0.0
Top 5% Risk,Urban Residence,Nonmetropolitan,848,0.517,0.7,31.373,41.509,31.373,0.509,0.46,177,0.503,241,0.486,175,0.497
Overall,BMI,Overweight,26555,0.8,0.272,100.0,5.34,100.0,0.926,0.388,623,0.439,1172,0.047,795,0.561
Top 1% Risk,BMI,Overweight,265,0.5,0.806,6.559,35.094,6.559,0.351,0.52,93,1.0,172,1.0,0,0.0
Top 5% Risk,BMI,Overweight,1327,0.5,0.8,33.709,36.021,33.709,0.36,0.53,478,1.0,849,1.0,0,0.0
Overall,BMI,Healthy,29570,0.786,0.256,100.0,6.466,100.0,0.934,0.295,405,0.212,433,0.016,1507,0.788
Top 1% Risk,BMI,Healthy,295,0.5,0.708,7.688,49.831,7.688,0.498,0.665,147,1.0,148,1.0,0,0.0
Top 5% Risk,BMI,Healthy,1478,0.55,0.682,34.571,44.723,34.571,0.534,0.54,405,0.613,433,0.53,256,0.387
Overall,BMI,Unknown,4218,0.788,0.245,100.0,5.903,100.0,0.94,0.299,54,0.217,58,0.015,195,0.783
Top 1% Risk,BMI,Unknown,42,0.5,0.69,8.835,52.381,8.835,0.524,0.688,22,1.0,20,1.0,0,0.0
Top 5% Risk,BMI,Unknown,210,0.559,0.665,35.743,42.381,35.743,0.557,0.537,54,0.607,58,0.479,35,0.393
Overall,BMI,Severe Obesity,5112,0.809,0.317,100.0,9.155,100.0,0.899,0.343,134,0.286,180,0.039,334,0.714
Top 1% Risk,BMI,Severe Obesity,51,0.5,0.7,5.556,50.98,5.556,0.51,0.675,26,1.0,25,1.0,0,0.0
Top 5% Risk,BMI,Severe Obesity,255,0.5,0.741,24.573,45.098,24.573,0.451,0.622,115,1.0,140,1.0,0,0.0
Overall,BMI,Obesity,22847,0.768,0.259,100.0,6.806,100.0,0.933,0.237,238,0.153,213,0.01,1317,0.847
Top 1% Risk,BMI,Obesity,228,0.5,0.669,8.103,55.263,8.103,0.553,0.712,126,1.0,102,1.0,0,0.0
Top 5% Risk,BMI,Obesity,1142,0.571,0.657,33.312,45.359,33.312,0.568,0.491,238,0.459,213,0.341,280,0.541
Overall,BMI,Underweight,2167,0.761,0.291,100.0,8.03,100.0,0.916,0.309,41,0.236,50,0.025,133,0.764
Top 1% Risk,BMI,Underweight,21,0.5,0.69,6.322,52.381,6.322,0.524,0.688,11,1.0,10,1.0,0,0.0
Top 5% Risk,BMI,Underweight,108,0.572,0.701,25.287,40.741,25.287,0.509,0.607,41,0.932,50,0.781,3,0.068
Overall,Drug Use Disorder (any past year),0,72722,0.762,0.227,100.0,4.582,100.0,0.948,0.276,717,0.215,1144,0.016,2615,0.785
Top 1% Risk,Drug Use Disorder (any past year),0,727,0.5,0.784,8.403,38.514,8.403,0.385,0.556,280,1.0,447,1.0,0,0.0
Top 5% Risk,Drug Use Disorder (any past year),0,3636,0.591,0.663,35.264,32.316,35.264,0.559,0.472,717,0.61,1144,0.465,458,0.39
Overall,Drug Use Disorder (any past year),1,17747,0.756,0.385,100.0,13.771,100.0,0.852,0.372,778,0.318,962,0.063,1666,0.682
Top 1% Risk,Drug Use Disorder (any past year),1,177,0.5,0.744,3.232,44.633,3.232,0.446,0.617,79,1.0,98,1.0,0,0.0
Top 5% Risk,Drug Use Disorder (any past year),1,887,0.5,0.751,15.835,43.63,15.835,0.436,0.608,387,1.0,500,1.0,0,0.0
Overall,Serious Psychological Distress (any past year),0,75394,0.571,0.153,100.0,2.066,100.0,0.977,0.039,36,0.023,235,0.003,1522,0.977
Top 1% Risk,Serious Psychological Distress (any past year),0,753,0.561,0.602,4.814,9.96,4.814,0.636,0.208,36,0.48,235,0.347,39,0.52
Top 5% Risk,Serious Psychological Distress (any past year),0,3769,0.623,0.327,13.158,5.439,13.158,0.893,0.151,36,0.176,235,0.066,169,0.824
Overall,Serious Psychological Distress (any past year),1,15075,0.649,0.554,100.0,27.98,100.0,0.693,0.387,1459,0.346,1871,0.172,2759,0.654
Top 1% Risk,Serious Psychological Distress (any past year),1,150,0.5,0.707,1.778,50.0,1.778,0.5,0.667,75,1.0,75,1.0,0,0.0
Top 5% Risk,Serious Psychological Distress (any past year),1,753,0.5,0.738,8.132,45.551,8.132,0.456,0.626,343,1.0,410,1.0,0,0.0
Overall,Felt Worthless (nearly every day),0,80809,0.666,0.203,100.0,3.382,100.0,0.959,0.122,231,0.085,831,0.011,2502,0.915
Top 1% Risk,Felt Worthless (nearly every day),0,808,0.5,0.884,6.476,21.906,6.476,0.219,0.359,177,1.0,631,1.0,0,0.0
Top 5% Risk,Felt Worthless (nearly every day),0,4040,0.599,0.549,22.722,15.371,22.722,0.698,0.275,231,0.372,831,0.243,390,0.628
Overall,Felt Worthless (nearly every day),1,9660,0.696,0.562,100.0,31.501,100.0,0.684,0.453,1264,0.415,1275,0.193,1779,0.585
Top 1% Risk,Felt Worthless (nearly every day),1,96,0.5,0.707,1.577,50.0,1.577,0.5,0.667,48,1.0,48,1.0,0,0.0
Top 5% Risk,Felt Worthless (nearly every day),1,483,0.5,0.724,7.558,47.619,7.558,0.476,0.645,230,1.0,253,1.0,0,0.0
Overall,Major Depressive Episode (any past year),0,81865,0.652,0.199,100.0,3.337,100.0,0.96,0.092,163,0.06,666,0.008,2569,0.94
Top 1% Risk,Major Depressive Episode (any past year),0,818,0.502,0.896,5.893,19.682,5.893,0.197,0.329,161,1.0,657,1.0,0,0.0
Top 5% Risk,Major Depressive Episode (any past year),0,4093,0.583,0.515,21.34,14.244,21.34,0.735,0.231,163,0.28,666,0.19,420,0.72
Overall,Major Depressive Episode (any past year),1,8604,0.638,0.605,100.0,35.379,100.0,0.634,0.458,1332,0.438,1440,0.259,1712,0.562
Top 1% Risk,Major Depressive Episode (any past year),1,86,0.5,0.762,1.183,41.86,1.183,0.419,0.59,36,1.0,50,1.0,0,0.0
Top 5% Risk,Major Depressive Episode (any past year),1,430,0.5,0.742,6.34,44.884,6.34,0.449,0.62,193,1.0,237,1.0,0,0.0
