Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Top 5% Risk,BMI,Healthy,1478,0.504,0.769,31.538,40.798,31.538,0.408,0.58,603,1.0,875,1.0,0,0.0
Overall,BMI,Unknown,4218,0.794,0.26,100.0,5.903,100.0,0.932,0.353,78,0.313,115,0.029,171,0.687
Top 1% Risk,BMI,Unknown,42,0.5,0.756,7.229,42.857,7.229,0.429,0.6,18,1.0,24,1.0,0,0.0
Top 5% Risk,BMI,Unknown,210,0.577,0.751,32.932,39.048,32.932,0.433,0.567,78,0.951,115,0.898,4,0.049
Overall,BMI,Severe Obesity,5112,0.805,0.401,100.0,9.155,100.0,0.838,0.403,279,0.596,638,0.137,189,0.404
Top 1% Risk,BMI,Severe Obesity,51,0.5,0.852,2.991,27.451,2.991,0.275,0.431,14,1.0,37,1.0,0,0.0
Top 5% Risk,BMI,Severe Obesity,255,0.5,0.84,16.026,29.412,16.026,0.294,0.455,75,1.0,180,1.0,0,0.0
Overall,BMI,Obesity,22847,0.81,0.269,100.0,6.806,100.0,0.927,0.307,369,0.237,477,0.022,1186,0.763
Top 1% Risk,BMI,Obesity,228,0.5,0.789,5.531,37.719,5.531,0.377,0.548,86,1.0,142,1.0,0,0.0
Top 5% Risk,BMI,Obesity,1142,0.548,0.712,30.547,41.594,30.547,0.489,0.559,369,0.777,477,0.715,106,0.223
Overall,BMI,Underweight,2167,0.8,0.313,100.0,8.03,100.0,0.902,0.386,67,0.385,106,0.053,107,0.615
Top 1% Risk,BMI,Underweight,21,0.5,0.724,5.747,47.619,5.747,0.476,0.645,10,1.0,11,1.0,0,0.0
Top 5% Risk,BMI,Underweight,108,0.5,0.776,24.713,39.815,24.713,0.398,0.57,43,1.0,65,1.0,0,0.0
Overall,Drug Use Disorder (any past year),0,72722,0.813,0.247,100.0,4.582,100.0,0.939,0.35,1193,0.358,2295,0.033,2139,0.642
Top 1% Risk,Drug Use Disorder (any past year),0,727,0.5,0.79,8.193,37.552,8.193,0.376,0.546,273,1.0,454,1.0,0,0.0
Top 5% Risk,Drug Use Disorder (any past year),0,3636,0.542,0.797,36.585,33.526,36.585,0.362,0.507,1193,0.979,2295,0.95,26,0.021
Overall,Drug Use Disorder (any past year),1,17747,0.79,0.371,100.0,13.771,100.0,0.862,0.333,612,0.25,615,0.04,1832,0.75
Top 1% Risk,Drug Use Disorder (any past year),1,177,0.5,0.713,3.56,49.153,3.56,0.492,0.659,87,1.0,90,1.0,0,0.0
Top 5% Risk,Drug Use Disorder (any past year),1,887,0.5,0.698,18.617,51.297,18.617,0.513,0.678,455,1.0,432,1.0,0,0.0
Overall,Serious Psychological Distress (any past year),0,75394,0.615,0.163,100.0,2.066,100.0,0.973,0.057,60,0.039,504,0.007,1498,0.961
Top 1% Risk,Serious Psychological Distress (any past year),0,753,0.54,0.825,4.75,9.827,4.75,0.312,0.188,60,0.811,504,0.742,14,0.189
Top 5% Risk,Serious Psychological Distress (any past year),0,3769,0.594,0.421,14.763,6.102,14.763,0.821,0.151,60,0.261,504,0.142,170,0.739
Overall,Serious Psychological Distress (any past year),1,15075,0.642,0.568,100.0,27.98,100.0,0.676,0.417,1745,0.414,2406,0.222,2473,0.586
Top 1% Risk,Serious Psychological Distress (any past year),1,150,0.5,0.726,1.683,47.333,1.683,0.473,0.643,71,1.0,79,1.0,0,0.0
Top 5% Risk,Serious Psychological Distress (any past year),1,753,0.5,0.75,7.824,43.825,7.824,0.438,0.609,330,1.0,423,1.0,0,0.0
Overall,Felt Worthless (nearly every day),0,80809,0.702,0.213,100.0,3.382,100.0,0.954,0.144,310,0.113,1254,0.016,2423,0.887
Top 1% Risk,Felt Worthless (nearly every day),0,808,0.5,0.891,6.111,20.668,6.111,0.207,0.343,167,1.0,641,1.0,0,0.0
Top 5% Risk,Felt Worthless (nearly every day),0,4040,0.589,0.619,22.43,15.173,22.43,0.615,0.285,310,0.506,1254,0.366,303,0.494
Overall,Felt Worthless (nearly every day),1,9660,0.68,0.575,100.0,31.501,100.0,0.668,0.483,1495,0.491,1656,0.25,1548,0.509
Top 1% Risk,Felt Worthless (nearly every day),1,96,0.5,0.692,1.643,52.083,1.643,0.521,0.685,50,1.0,46,1.0,0,0.0
Top 5% Risk,Felt Worthless (nearly every day),1,483,0.5,0.721,7.624,48.033,7.624,0.48,0.649,232,1.0,251,1.0,0,0.0
Overall,Major Depressive Episode (any past year),0,81865,0.693,0.203,100.0,3.337,100.0,0.959,0.12,232,0.085,889,0.011,2500,0.915
Top 1% Risk,Major Depressive Episode (any past year),0,818,0.507,0.886,6.442,21.516,6.442,0.215,0.354,176,1.0,642,1.0,0,0.0
Top 5% Risk,Major Depressive Episode (any past year),0,4093,0.602,0.542,20.351,13.584,20.351,0.704,0.277,232,0.417,889,0.251,324,0.583
Overall,Major Depressive Episode (any past year),1,8604,0.605,0.636,100.0,35.379,100.0,0.594,0.474,1573,0.517,2021,0.363,1471,0.483
Top 1% Risk,Major Depressive Episode (any past year),1,86,0.5,0.731,1.314,46.512,1.314,0.465,0.635,40,1.0,46,1.0,0,0.0
Top 5% Risk,Major Depressive Episode (any past year),1,430,0.5,0.733,6.537,46.279,6.537,0.463,0.633,199,1.0,231,1.0,0,0.0
