Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Top 5% Risk,Family Income,"Less than $20,000",874,0.569,0.666,24.752,45.767,24.752,0.556,0.279,75,0.188,63,0.133,325,0.812
Overall,Health Insurance,Private plan,56588,0.673,0.235,100.0,5.519,100.0,0.945,0.02,31,0.01,25,0.0,3092,0.99
Top 1% Risk,Health Insurance,Private plan,565,0.528,0.697,8.998,49.735,8.998,0.513,0.184,31,0.11,25,0.088,250,0.89
Top 5% Risk,Health Insurance,Private plan,2829,0.571,0.64,37.368,41.251,37.368,0.59,0.051,31,0.027,25,0.015,1136,0.973
Overall,Health Insurance,Medicare,3452,0.694,0.196,100.0,3.824,100.0,0.962,0.029,2,0.015,2,0.001,130,0.985
Top 1% Risk,Health Insurance,Medicare,34,0.544,0.664,11.364,44.118,11.364,0.559,0.211,2,0.133,2,0.105,13,0.867
Top 5% Risk,Health Insurance,Medicare,172,0.665,0.523,35.606,27.326,35.606,0.727,0.078,2,0.043,2,0.016,45,0.957
Overall,Health Insurance,Uninsured,10924,0.746,0.274,100.0,7.726,100.0,0.925,0.168,83,0.098,60,0.006,761,0.902
Top 1% Risk,Health Insurance,Uninsured,109,0.5,0.657,7.346,56.881,7.346,0.569,0.725,62,1.0,47,1.0,0,0.0
Top 5% Risk,Health Insurance,Uninsured,546,0.596,0.654,30.45,47.07,30.45,0.571,0.415,83,0.323,60,0.208,174,0.677
Overall,Health Insurance,Medicaid/CHIP,15147,0.698,0.3,100.0,8.992,100.0,0.91,0.038,27,0.02,28,0.002,1335,0.98
Top 1% Risk,Health Insurance,Medicaid/CHIP,151,0.476,0.708,5.507,49.669,5.507,0.497,0.415,27,0.36,28,0.368,48,0.64
Top 5% Risk,Health Insurance,Medicaid/CHIP,757,0.545,0.671,24.963,44.914,24.963,0.55,0.137,27,0.079,28,0.067,313,0.921
Overall,Health Insurance,Other,4358,0.701,0.269,100.0,7.228,100.0,0.928,0.031,5,0.016,5,0.001,310,0.984
Top 1% Risk,Health Insurance,Other,43,0.487,0.715,6.984,51.163,6.984,0.488,0.312,5,0.227,5,0.238,17,0.773
Top 5% Risk,Health Insurance,Other,217,0.541,0.686,32.381,47.005,32.381,0.53,0.089,5,0.049,5,0.043,97,0.951
Overall,Urban Residence,Large Metropolitan,40733,0.701,0.241,100.0,5.85,100.0,0.942,0.064,81,0.034,70,0.002,2302,0.966
Top 1% Risk,Urban Residence,Large Metropolitan,407,0.556,0.664,8.015,46.929,8.015,0.558,0.474,81,0.424,70,0.324,110,0.576
Top 5% Risk,Urban Residence,Large Metropolitan,2036,0.596,0.599,31.137,36.444,31.137,0.641,0.181,81,0.109,70,0.054,661,0.891
Overall,Urban Residence,Small Metropolitan,32774,0.687,0.262,100.0,6.929,100.0,0.931,0.041,48,0.021,34,0.001,2223,0.979
Top 1% Risk,Urban Residence,Small Metropolitan,327,0.544,0.711,7.926,55.046,7.926,0.492,0.366,48,0.267,34,0.231,132,0.733
Top 5% Risk,Urban Residence,Small Metropolitan,1638,0.601,0.649,31.044,43.04,31.044,0.578,0.122,48,0.068,34,0.036,657,0.932
Overall,Urban Residence,Nonmetropolitan,16962,0.689,0.257,100.0,6.615,100.0,0.934,0.033,19,0.017,16,0.001,1103,0.983
Top 1% Risk,Urban Residence,Nonmetropolitan,169,0.569,0.709,7.843,52.071,7.843,0.497,0.309,19,0.216,16,0.198,69,0.784
Top 5% Risk,Urban Residence,Nonmetropolitan,848,0.615,0.639,31.105,41.156,31.105,0.592,0.099,19,0.054,16,0.032,330,0.946
Overall,BMI,Overweight,26555,0.685,0.231,100.0,5.34,100.0,0.947,0.041,30,0.021,29,0.001,1388,0.979
